


Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
8/2/2025,5:41:57 PM,,103,29,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:09 PM,,104,130,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:13 PM,,105,51,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:13 PM,,106,81,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:14 PM,,107,91,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:34 PM,,108,130,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:37 PM,,109,26,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:38 PM,,110,56,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:39 PM,,111,91,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:40 PM,,112,120,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:44:41 PM,,113,130,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:46:18 PM,,114,54,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:46:31 PM,,115,130,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:46:34 PM,,116,36,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:46:37 PM,,117,89,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:46:38 PM,,118,129,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:46:58 PM,,119,130,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:47:02 PM,,120,42,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:47:05 PM,,121,130,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:47:23 PM,,122,125,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:47:27 PM,,123,46,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:47:29 PM,,124,130,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:52:03 PM,,125,66,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,5:58:48 PM,,126,26,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:00:04 PM,,127,35,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:01:48 PM,,128,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:02:35 PM,,129,26,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:02:38 PM,,130,55,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:02:42 PM,,131,32,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:02:48 PM,,132,48,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:03:02 PM,,133,25,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:03:04 PM,,134,26,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:03:55 PM,,135,33,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:04:16 PM,,136,46,MPH,,,,Temp Temp,Football,In-game speed,NO
8/2/2025,6:04:30 PM,,137,26,MPH,,,,Temp Temp,Football,In-game speed,NO
