0902 Jockey Club


Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
9/2/2025,4:01:27 PM,0902 Jockey Club,111,58,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:01:32 PM,0902 Jockey Club,112,68,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:01:39 PM,0902 Jockey Club,113,64,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:01:44 PM,0902 Jockey Club,114,64,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:01:50 PM,0902 Jockey Club,115,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:00 PM,0902 Jockey Club,116,44,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:08 PM,0902 Jockey Club,117,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:08 PM,0902 Jockey Club,118,30,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:14 PM,0902 Jockey Club,119,58,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:24 PM,0902 Jockey Club,120,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:25 PM,0902 Jockey Club,121,44,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:33 PM,0902 Jockey Club,122,46,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:46 PM,0902 Jockey Club,123,63,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:58 PM,0902 Jockey Club,124,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:02:59 PM,0902 Jockey Club,125,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:01 PM,0902 Jockey Club,126,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:09 PM,0902 Jockey Club,127,42,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:16 PM,0902 Jockey Club,128,61,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:23 PM,0902 Jockey Club,129,40,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:29 PM,0902 Jockey Club,130,52,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:35 PM,0902 Jockey Club,131,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:36 PM,0902 Jockey Club,132,58,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:44 PM,0902 Jockey Club,133,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:03:54 PM,0902 Jockey Club,134,35,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:00 PM,0902 Jockey Club,135,42,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:06 PM,0902 Jockey Club,136,29,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:15 PM,0902 Jockey Club,137,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:19 PM,0902 Jockey Club,138,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:20 PM,0902 Jockey Club,139,52,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:23 PM,0902 Jockey Club,140,54,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:38 PM,0902 Jockey Club,141,52,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:43 PM,0902 Jockey Club,142,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:43 PM,0902 Jockey Club,143,60,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:48 PM,0902 Jockey Club,144,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:04:55 PM,0902 Jockey Club,145,47,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:00 PM,0902 Jockey Club,146,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:05 PM,0902 Jockey Club,147,62,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:14 PM,0902 Jockey Club,148,25,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:16 PM,0902 Jockey Club,149,63,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:27 PM,0902 Jockey Club,150,38,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:36 PM,0902 Jockey Club,151,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:36 PM,0902 Jockey Club,152,52,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:49 PM,0902 Jockey Club,153,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:05:51 PM,0902 Jockey Club,154,50,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:00 PM,0902 Jockey Club,155,57,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:06 PM,0902 Jockey Club,156,56,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:13 PM,0902 Jockey Club,157,62,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:20 PM,0902 Jockey Club,158,52,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:29 PM,0902 Jockey Club,159,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:33 PM,0902 Jockey Club,160,36,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:34 PM,0902 Jockey Club,161,65,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:46 PM,0902 Jockey Club,162,56,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:52 PM,0902 Jockey Club,163,58,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:06:58 PM,0902 Jockey Club,164,36,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:02 PM,0902 Jockey Club,165,55,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:09 PM,0902 Jockey Club,166,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:16 PM,0902 Jockey Club,167,59,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:20 PM,0902 Jockey Club,168,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:26 PM,0902 Jockey Club,169,57,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:31 PM,0902 Jockey Club,170,62,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:37 PM,0902 Jockey Club,171,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:48 PM,0902 Jockey Club,172,31,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:50 PM,0902 Jockey Club,173,51,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:07:57 PM,0902 Jockey Club,174,25,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:08:06 PM,0902 Jockey Club,175,64,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:08:10 PM,0902 Jockey Club,176,54,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:08:21 PM,0902 Jockey Club,177,49,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:08:26 PM,0902 Jockey Club,178,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:08:31 PM,0902 Jockey Club,179,56,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:08:35 PM,0902 Jockey Club,180,65,MPH,,,,Temp Temp,Football,In-game speed,NO
